Parent,PC2,PC1,Cluster,Experiment,n_frames,DoseLabel
1000000046,1.3131058,-3.224982,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,12.0,Neg
1000000048,-2.3005257,0.10120577,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,23.0,Neg
1000000049,3.2670062,-0.25648364,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,8.0,Neg
1000000050,-4.394675,-0.86673474,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Pos
1000000051,-1.5710889,-2.9016814,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,47.0,Neg
1000000052,0.01425167,-1.4950678,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,18.0,Neg
1000000053,2.9379315,-4.276995,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,13.0,Neg
1000000054,-3.268577,-0.92396986,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,43.0,Pos
1000000055,1.5915644,-4.2249746,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,13.0,Neg
1000000056,-1.9281868,-1.2073017,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,47.0,High
1000000057,-1.524761,-0.8142753,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Neg
1000000058,1.097657,-3.0073793,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,10.0,Neg
1000000059,0.61469054,-2.0722175,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,11.0,Neg
1000000060,1.9171228,-3.8097098,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,16.0,Neg
1000000061,2.7096741,-3.086804,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,15.0,Neg
1000000062,-2.0926883,-1.6467847,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,31.0,Neg
1000000063,-1.3368965,-3.447884,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,Neg
1000000064,-0.5081674,-2.1642067,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,41.0,Neg
1000000065,-2.6862125,-0.51147014,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,43.0,Pos
1000000067,-3.71572,1.6268964,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,33.0,Neg
1000000068,1.3823106,-2.520515,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,12.0,Neg
1000000069,-4.0901394,0.61234117,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Pos
1000000070,2.105018,-2.8289814,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,13.0,Pos
1000000071,-2.9214988,-0.6207379,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,27.0,Pos
1000000072,-4.5026164,0.12775658,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Neg
1000000074,-0.033359304,-0.29630262,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,18.0,Neg
1000000075,-0.21290433,-3.7889478,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,Neg
1000000076,0.65222293,-0.26209083,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,13.0,Pos
1000000079,-3.2369008,0.49837443,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,44.0,High
1000000080,-2.2458692,-0.63661873,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,39.0,Pos
1000000081,-0.263037,-0.29593837,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,14.0,Pos
1000000082,0.60322094,-2.412398,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,27.0,Pos
1000000083,1.2344794,-2.6579723,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,33.0,Neg
1000000084,-1.2945693,-2.4763565,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,Neg
1000000085,1.9630086,-1.9446118,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,10.0,Pos
1000000086,3.7019045,-2.3890762,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,6.0,Neg
1000000087,-3.0876954,-0.35761777,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,37.0,Neg
1000000088,1.9532475,0.14041053,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,12.0,Neg
1000000089,-0.67116034,-3.8294213,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,Neg
1000000091,-3.05729,-0.81803805,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Neg
1000000092,1.9318899,-2.6749895,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,11.0,Pos
1000000093,-0.732415,-2.1589525,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,15.0,Pos
1000000094,-2.057573,-1.8639123,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,43.0,Pos
1000000095,2.1416497,-3.950463,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,11.0,Neg
1000000096,-1.7109126,-0.4264063,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Pos
1000000097,0.16990837,-0.5638638,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,20.0,Neg
1000000098,-2.6557994,-1.380732,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,42.0,Pos
1000000100,1.0389407,-1.4343101,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,14.0,Neg
1000000101,0.86351675,-3.5396574,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,26.0,Neg
1000000102,-4.379539,-1.179872,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,41.0,High
1000000103,-3.3313892,-0.7440833,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,40.0,Neg
1000000104,-2.0071507,-1.1948603,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,38.0,High
1000000105,-2.954279,-0.56694555,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,39.0,High
1000000106,2.6022832,-1.0047994,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,10.0,Pos
1000000107,1.5700392,-1.6122559,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,16.0,Pos
1000000108,-0.09146946,-2.5092869,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,20.0,Neg
1000000109,1.5017346,-0.038924642,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,7.0,Neg
1000000110,-0.45857915,-1.1633059,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,18.0,Neg
1000000111,-2.7995667,-1.5587729,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,Pos
1000000112,2.2895918,-0.67258984,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,13.0,Neg
1000000114,-3.0366004,-0.6737457,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,Neg
1000000115,0.41267288,-1.9597712,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,22.0,Pos
1000000116,-3.0014439,-1.2167158,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,44.0,High
1000000117,0.2995467,-1.685537,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,13.0,Pos
1000000118,-1.9075462,-2.1970253,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,46.0,Pos
1000000120,-2.2477336,-1.5574235,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,26.0,Neg
1000000121,-3.9160001,0.0958528,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,40.0,Pos
1000000122,-1.3100742,-2.456767,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,36.0,Pos
1000000123,-3.0595086,-0.57438856,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,19.0,Neg
1000000124,-1.1014584,-0.45775202,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,24.0,High
1000000128,-2.2171984,-1.9515438,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Pos
1000000129,-0.69369143,-1.1000155,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,36.0,Pos
1000000130,-3.7778587,-1.3079945,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,44.0,High
1000000131,2.5865004,-1.2536557,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,9.0,Pos
1000000133,-2.8552077,-1.690753,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,Neg
1000000134,0.76201475,-0.8377258,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,11.0,Pos
1000000135,-1.6261702,-0.5675724,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,42.0,Pos
1000000136,-2.4547381,0.7942898,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,42.0,Neg
1000000137,2.4843051,-1.907782,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,11.0,Pos
1000000138,-3.6950934,-0.93604535,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Pos
1000000139,-2.4848728,-2.0457714,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Neg
1000000140,-0.7940802,-3.6317189,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,42.0,Neg
1000000141,1.5555258,-1.4581907,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,9.0,Neg
1000000142,-0.16951226,-4.0383263,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,Neg
1000000143,-3.5347009,-0.1757673,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,39.0,Pos
1000000144,-1.988065,-1.1556,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,27.0,Pos
1000000145,1.6011828,-3.0745664,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,11.0,Neg
1000000146,2.3439503,-2.4459045,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,13.0,Neg
1000000147,1.8051857,-3.0714865,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,11.0,Pos
1000000148,2.6189854,-0.34406623,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,8.0,Pos
1000000149,3.1497998,-2.105262,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,7.0,Pos
1000000150,-3.8463945,-0.8001676,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,43.0,Pos
1000000151,0.04663543,-1.0455303,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,13.0,Pos
1000000152,-3.6176913,0.47070312,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,38.0,Pos
1000000153,-2.8906963,-1.9644259,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,Neg
1000000154,-0.19785118,-2.871817,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,17.0,Pos
1000000155,-0.90206945,-1.9383265,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,22.0,Neg
1000000157,-2.6906736,-1.5943141,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,44.0,Neg
1000000158,0.94380844,-1.3584768,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,13.0,Neg
1000000159,-3.6970384,-0.14888696,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,47.0,High
1000000160,-1.7668772,0.10294143,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,29.0,Pos
1000000161,-2.1575348,-2.4254189,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,47.0,Pos
1000000162,-0.78550595,-2.0597126,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,37.0,Neg
1000000163,0.74925864,-3.0644438,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,14.0,Neg
1000000166,1.7189091,-2.2866876,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,17.0,Neg
1000000167,-0.88424665,-1.4711274,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,25.0,Pos
1000000168,1.6177212,-1.5432478,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,12.0,Neg
1000000169,-0.9387572,-1.4795408,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,17.0,Neg
1000000171,-2.579802,-1.6751685,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,High
1000000172,-1.4107333,-2.9150963,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Pos
1000000173,-2.8766305,0.5382445,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,40.0,High
1000000174,0.44164094,-2.3867376,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,15.0,Neg
1000000175,-4.735423,0.76842266,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,High
1000000176,-0.88002723,-2.9913695,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,16.0,Pos
1000000177,-1.5352463,-2.2779462,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Neg
1000000178,-3.5700166,-0.71174395,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,44.0,Pos
1000000179,-1.9813008,-1.147275,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,44.0,Neg
1000000180,1.8734388,-3.568016,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,8.0,Pos
1000000181,-2.1232896,-1.5455114,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,46.0,Neg
1000000182,2.1061287,-0.46640205,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,9.0,Neg
1000000183,0.1136139,-0.87535924,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,10.0,Neg
1000000184,-3.0734456,1.6913848,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,27.0,Pos
1000000185,1.5431244,-2.3372986,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,15.0,Pos
1000000186,2.8535378,-1.6912857,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,6.0,Pos
1000000187,-2.9648395,-0.27666956,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,36.0,Pos
1000000188,0.8216696,-1.6320921,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,14.0,Neg
1000000189,-2.5127158,0.00321519,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,31.0,Pos
1000000190,-1.2615278,-1.6564064,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,23.0,High
1000000191,-0.77008855,1.593909,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,20.0,Pos
1000000193,1.3827102,-0.35222414,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,12.0,Pos
1000000194,2.2758536,4.349275,2,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,10.0,Pos
1000000195,-3.98203,-0.34318516,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,42.0,Pos
1000000196,-2.65603,0.54229367,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,33.0,Neg
1000000197,-2.167463,-0.33127692,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,39.0,High
1000000198,-1.7344794,-0.4726532,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,42.0,High
1000000199,-0.2871561,1.9699781,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,18.0,Pos
1000000200,-1.021492,1.4953021,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,23.0,Neg
1000000201,0.41990986,0.9218519,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,15.0,Pos
1000000202,1.8584217,-3.6315374,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,9.0,Neg
1000000203,-0.8198685,-2.1461697,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Pos
1000000204,-0.92916155,1.0113088,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,32.0,Pos
1000000205,-2.8011434,3.3577876,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,25.0,Pos
1000000206,3.1142225,-3.6882915,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,11.0,Neg
1000000208,-3.1213117,-2.139639,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,46.0,Pos
1000000211,-2.51584,-0.69550264,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,43.0,Pos
1000000212,0.34793976,-1.3125113,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,13.0,Neg
1000000213,2.7962697,-2.4869597,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,8.0,Pos
1000000214,-4.2189245,0.3530037,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,42.0,Pos
1000000215,-1.8101417,-1.8507937,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,42.0,High
1000000216,-3.6098702,2.6537695,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,30.0,Neg
1000000217,1.2461483,-1.5085135,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,14.0,Pos
1000000218,2.9800858,0.14334795,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,6.0,Neg
1000000219,-2.0964441,-1.4846349,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,23.0,Pos
1000000220,-2.3537426,-0.99210066,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,43.0,Pos
1000000223,2.1776025,-2.109747,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,10.0,Neg
1000000224,1.7994897,-1.3862119,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,14.0,Neg
1000000226,-3.5468192,-0.15397036,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Pos
1000000227,-4.226753,2.5521433,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,40.0,High
1000000228,-5.4318967,3.3473911,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,41.0,Pos
1000000230,-3.6092448,0.55219257,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,43.0,High
1000000231,-4.7283287,1.9016582,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,42.0,Pos
1000000232,-0.37696105,-0.81834024,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,27.0,Pos
1000000233,-4.935063,2.6026337,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,44.0,Pos
1000000234,0.4792816,-2.0366025,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,13.0,Pos
1000000235,-3.989525,0.7103807,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,44.0,High
1000000236,-3.4212325,0.2969293,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,34.0,High
1000000237,-1.7806635,-1.7347176,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,30.0,High
1000000240,2.3126986,-2.9886532,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,7.0,Neg
1000000241,1.6094116,-1.3952019,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,11.0,Pos
1000000242,-2.6765056,-2.3559136,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,46.0,Neg
1000000243,-6.0210114,-0.8671888,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,41.0,Neg
1000000244,-0.7977784,-0.32367244,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,36.0,Neg
1000000245,-3.122579,-0.48435357,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,30.0,Pos
1000000246,2.8402476,-0.19929078,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,10.0,Neg
1000000247,-1.965236,-1.0161428,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,41.0,Pos
